timestamp,estacao_id,bioma,latitude,longitude,temperatura_c,umidade_ar_pct,pressao_hpa,umidade_solo_pct,fumaca_ppm,indice_uv
2024-07-19T00:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,25.1,40.3,1012.8,18.6,175.0,0.8
2024-07-19T03:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,26.0,34.8,1016.2,19.3,151.0,0.0
2024-07-19T06:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,30.3,32.4,1011.3,22.4,895.0,0.0
2024-07-19T09:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,32.9,30.2,1010.6,13.1,170.0,5.3
2024-07-19T12:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,32.9,31.2,1011.8,19.8,158.0,6.8
2024-07-19T15:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,32.2,32.4,1018.7,22.0,620.0,6.4
2024-07-19T18:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,28.7,32.8,1019.5,19.7,167.0,0.0
2024-07-19T21:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,27.3,38.7,1012.6,21.9,152.0,0.0
2024-07-20T00:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,23.9,32.2,1014.4,21.9,563.0,0.0
2024-07-20T03:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,25.5,27.9,1015.4,22.2,176.0,0.3
2024-07-20T06:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,26.8,26.9,1011.6,13.0,160.0,0.8
2024-07-20T09:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,33.2,28.9,1020.2,18.6,165.0,4.9
2024-07-20T12:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,35.6,20.5,1014.4,16.3,161.0,7.5
2024-07-20T15:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,33.2,23.5,1016.5,17.1,176.0,7.3
2024-07-20T18:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,28.8,32.9,1007.0,14.1,503.0,0.4
2024-07-20T21:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,24.9,31.3,1008.6,6.0,896.0,3.1
2024-07-21T00:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,23.9,35.1,1009.3,12.8,162.0,0.1
2024-07-21T03:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,22.5,31.6,1009.1,21.4,788.0,0.1
2024-07-21T06:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,27.5,31.5,1014.1,20.2,157.0,0.0
2024-07-21T09:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,33.5,27.5,1011.8,22.4,349.0,6.9
2024-07-21T12:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,32.8,23.5,1009.7,12.3,672.0,8.0
2024-07-21T15:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,30.3,29.1,1019.6,10.6,487.0,6.0
2024-07-21T18:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,28.7,26.1,1011.1,17.1,165.0,0.0
2024-07-21T21:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,23.8,38.8,1010.9,19.1,147.0,0.1
2024-07-22T00:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,23.5,40.0,1018.3,16.5,175.0,2.0
2024-07-22T03:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,25.1,30.9,1015.0,9.5,161.0,0.0
2024-07-22T06:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,28.3,29.5,1013.1,16.1,479.0,2.0
2024-07-22T09:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,32.5,20.3,1014.9,15.1,747.0,5.6
2024-07-22T12:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,35.2,26.1,1009.0,20.0,363.0,5.5
2024-07-22T15:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,33.2,21.9,1023.0,9.8,173.0,5.3
2024-07-22T18:00:00,ESP32-CER-01,Cerrado,-15.78,-47.93,29.4,33.1,1007.7,16.7,177.0,0.4
